Postnorm
41.56
30.24
27.02
24.75
23.56
22.36
21.42
20.68
20.11
19.63
18.88
18.39
17.77
17.63
17.23
16.72
16.18
15.89
15.47
15.13
14.45
13.80
13.42
12.74
12.49
12.17
11.73
11.48
11.29
10.99
10.90
10.64
10.59
10.49
10.34
10.25
10.23
10.06
9.93
9.78
9.82
9.87
9.74
9.59
9.66
9.45
9.51
9.50
9.39
9.43
9.34
9.24
9.25
9.22
9.28
9.15
9.13
9.10
9.11
9.07
8.97
8.94
8.96
8.86
8.87
8.90
8.89
8.92
8.91
8.84
8.80
8.75
8.69
8.80
8.85
8.70
8.72
8.66
8.71
8.66
8.62
