Prenorm
44.83
30.73
26.49
23.63
21.90
20.41
19.22
18.18
17.20
16.16
14.87
13.55
12.96
12.30
11.78
11.41
11.08
10.98
10.80
10.60
10.46
10.29
10.02
9.93
9.74
9.71
9.57
9.53
9.33
9.31
9.28
9.03
9.12
8.98
8.97
8.92
8.90
8.89
8.73
8.66
8.70
8.67
8.60
8.59
8.60
8.54
8.46
8.52
8.45
8.46
8.41
8.38
8.37
8.37
8.31
8.24
8.17
8.24
8.23
8.19
8.14
8.06
8.10
8.02
8.04
8.03
8.11
8.04
8.04
7.97
7.94
7.91
7.91
8.00
8.02
7.96
7.90
7.91
7.95
7.90
7.84
